揽收量,派件量,网点得分,揽收出港及时率,派件出门准点率,当日签收率,虚假签收率,遗失率,升级投诉率,总投诉率,一次性解决率,二次投诉率,签收好评率,代收好评率,及时揽收率
237111,601187,73.53,99.5,83.77,94.56,2.46,3,4.99,4.13,84.46,1.61,88.39,93.48,96.95
224317,386290,66.09,99.63,95.99,98.74,2.61,4.7,5.18,4.92,78.06,5.79,92.65,94.8,97.38
574024,755544,57.49,99.89,67.94,93.25,3.2,3.8,3.97,6.75,77.37,5.88,88.16,95.35,98.04
52859,92212,78.73,99.19,92.04,98.29,3.14,2.2,0,4.99,84.77,2.17,95.04,92.84,98.27
637601,608531,75.73,92.55,88.91,97.65,2.79,0.8,0,4.17,82.2,2.36,89.46,91.27,96.22
82470,171982,58.34,98.7,90.84,96.86,3.61,4.7,5.81,6.92,79.66,10.08,91.13,93.9,97.73
16625,240437,73.43,99.89,93.97,97.95,2.66,4.6,0,4.95,85.33,8.4,88.32,95.42,95.82
246012,73327,65.44,99.67,98.63,98.48,3.27,1.4,0,4.5,87.36,,92.12,90.15,83.91
19284,59543,95.26,99.94,78.62,97.39,1.34,1.7,0,2.69,93.57,,100,100,98.27
11163,117569,86.14,99.33,91.03,98.19,1.79,3.4,0,2.64,88.6,3.23,93.47,91.53,98.02
